SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0002196,Bullant,Bullant - Ora Banda,Operating,Paddington - Mt Pleasant,121.0578,-30.52747,313660,6621160,51,Au Ag,Precious metal,GOLD,20221018
S0002217,Golden Ridge,Golden Ridge,Operating,Golden Ridge,121.667345,-30.847844,372570,6586501,51,Au Ag,Precious metal,GOLD,20221018
S0002232,Rothsay UG,Rothsay Underground,Operating,Rothsay,116.877078,-29.288679,488060,6760024,50,Au Ag,Precious metal,GOLD,20221018
S0002247,Aquarius,Aquarius,Operating,Marvel Loch - Southern Cross,119.322009,-31.271359,721071,6537998,50,Au Ag,Precious metal,GOLD,20221018
S0002289,Harbour Lights UG,Harbour Lights Underground,Operating,Gwalia - Leonora,121.321999,-28.87369,336352,6804851,51,Au Ag,Precious metal,GOLD,20221018
S0002383,Sons of Gwalia UG,Sons of Gwalia Underground,Operating,Gwalia - Leonora,121.333474,-28.918421,337541,6799910,51,Au Ag,Precious metal,GOLD,20221018
S0002384,Gault,Gault,Operating,Tampia,118.451698,-32.16235,636884,6440645,50,Au Ag,Precious metal,GOLD,20221018
S0002386,Telfer UG,Telfer Underground,Operating,Telfer / Newcrest,122.202732,-21.722441,417544,7597682,51,Au Ag,Precious metal,GOLD,20221018
S0002419,Zelica,Zelica,Operating,Zelica - Eucalyptus,122.174906,-29.216841,419803,6767708,51,Au Ag,Precious metal,GOLD,20221018
S0002420,Fairplay N - NE,Fairplay North - Fairplay Northeast,Operating,Higginsville,121.72817,-31.746394,379535,6486970,51,Au Ag,Precious metal,GOLD,20221018
S0002484,Vegas,Vegas - Galaxy,Operating,Mt Magnet,117.790979,-28.037313,577746,6898412,50,Au Ag,Precious metal,GOLD,20221018
S0002485,Matilda 6,Matilda 6,Operating,Matilda,120.219902,-26.76825,223544,7036210,51,Au Ag,Precious metal,GOLD,20221018
S0002535,Edwards,Edwards - Nullagine,Operating,Beatons Creek JV,120.098121,-21.868989,200097,7578843,51,Au Ag,Precious metal,GOLD,20221018
S0002541,Golden Funnel,Golden Funnel,Operating,Paddington - Mt Pleasant,121.247079,-30.579425,331912,6615698,51,Au Ag,Precious metal,GOLD,20221018
S0002621,Frasers Central Pit,Frasers Central Opencut,Operating,Marvel Loch - Southern Cross,119.330752,-31.239486,721978,6541514,50,Au Ag,Precious metal,GOLD,20221018
S0002719,Matilda 4,Matilda 4 Iceberg - Scorchers - Sixers,Operating,Matilda,120.215342,-26.750194,223046,7038202,51,Au Ag,Precious metal,GOLD,20221018
S0002815,Daisy-Milano,Daisy - Milano,Operating,Randalls - Mt Monger,121.921362,-31.013137,397038,6568443,51,Au Ag,Precious metal,GOLD,20221018
S0002833,Mungari/Bereth,Mungari / Bereth,Operating,Coolgardie / Bereth,121.281998,-30.90346,335812,6579833,51,Au Ag,Precious metal,GOLD,20221018
S0002855,Mulgarrie,Mulgarrie,Operating,Paddington - Mt Pleasant,121.515147,-30.383512,357335,6637782,51,Au Ag,Precious metal,GOLD,20221018
S0002882,Penny West,Penny West,Under Development,Penny Gold,118.810428,-28.853896,676599,6806855,50,Au Ag,Precious metal,GOLD,20221018
S0003056,Hampton UG,Hampton - Boulder Underground,Operating,South Kalgoorlie Operations,121.606576,-31.034576,367017,6565732,51,Au Ag,Precious metal,GOLD,20221018
