site_code,short_title,stage,longitude,latitude,target_group_name
S0018779,Bakers Flat - Tarranto,Operating,121.268705,-30.969423,GOLD
S0018836,Fender,Operating,117.635399,-27.3442,GOLD
S0018909,Kailis,Operating,121.288398,-28.840312,GOLD
S0019084,Waroonga Underground,Operating,120.505798,-28.004499,GOLD
S0019420,Deep South,Operating,122.54842,-29.546148,GOLD
S0019514,Barton Main Westside,Operating,120.604103,-26.372549,GOLD
S0019534,Williamson Pit,Operating,120.317987,-26.773502,GOLD
S0019550,Shannon,Operating,117.78341,-28.060205,GOLD
S0019619,Rowdies,Operating,127.353958,-18.419041,GOLD
S0019624,Plutonic East,Operating,119.446404,-25.306709,GOLD
S0019642,Tarmoola N,Operating,121.166066,-28.663856,GOLD
S0019675,Greenfinch,Operating,118.689849,-31.288291,GOLD
S0019710,Raleigh-Golden Hind U/G,Operating,121.243599,-30.72757,GOLD
S0019779,Invicta,Operating,120.5886,-26.3615,GOLD
S0019961,City of Chester,Operating,117.7938,-27.335859,GOLD
S0020116,Homestead,Operating,121.230797,-30.541241,GOLD
S0020197,Tropicana,Operating,124.553902,-29.24608,GOLD
S0020380,UG Portal,Operating,122.305117,-28.852143,GOLD
S0020417,Anchor N,Operating,122.348159,-27.665145,GOLD
S0020968,Battler,Operating,119.389597,-31.34636,GOLD
S0021008,Trident,Operating,121.7313,-31.72505,GOLD
S0021532,Golden Age UG,Operating,120.246696,-26.620331,GOLD
S0021542,Fimiston Superpit,Operating,121.50352,-30.777971,GOLD
S0021718,Main Portal,Operating,119.492599,-31.464569,GOLD
S0021723,Scotia Central,Operating,121.791496,-32.47422,GOLD
S0021837,Rose Dam South,Operating,121.27655,-30.520962,GOLD
S0022447,Dogbolter,Operating,122.342667,-27.724042,GOLD
S0022458,Vause Laterite,Operating,120.816002,-26.61158,GOLD
S0022539,Aquarius - Corona,Under Development,121.728206,-31.755167,GOLD
S0022743,Havana,Operating,124.5401,-29.263359,GOLD
S0022929,Wagtail North,Operating,127.353798,-18.421173,GOLD
S0022974,Julius,Operating,120.948631,-26.763126,GOLD
S0023166,Wandoo N,Operating,116.3419,-32.741345,GOLD
S0023206,Frogs Leg UG,Operating,121.270103,-30.76158,GOLD
S0029437,Rosemont North,Operating,122.268224,-27.831212,GOLD
S0032945,South Victory N2,Operating,117.801533,-27.403089,GOLD
S0223012,Petra,Operating,122.257176,-27.686151,GOLD
S0223250,Fort Scott,Operating,121.378412,-30.781147,GOLD
S0223445,Portal,Operating,121.260602,-30.744035,GOLD
S0223550,Water Tank Hill UG,Operating,117.829995,-28.064741,GOLD
S0223594,Cave Rocks UG,Operating,121.557715,-31.209795,GOLD
S0223927,Hamlet UG,Operating,121.812162,-31.400095,GOLD
S0224078,Pertha May,Operating,118.65181,-31.275179,GOLD
S0224327,Maingays,Operating,122.281933,-29.783519,GOLD
S0224334,Red October UG,Operating,122.413546,-29.217297,GOLD
S0224441,Bibra,Operating,120.095889,-23.765145,GOLD
S0224513,Garden Well,Operating,122.356001,-27.906395,GOLD
S0224676,Navajo-Chief,Operating,121.39119,-30.823813,GOLD
S0224716,Moonlight 58,Operating,121.608591,-30.582426,GOLD
S0224999,Tooheys Well,Operating,122.368122,-27.939959,GOLD
S0225139,Fender 700,Operating,117.639568,-27.34181,GOLD
S0225180,Central Laterite,Operating,122.346292,-27.602195,GOLD
S0225287,Gateway Portal,Operating,120.589064,-26.381404,GOLD
S0225288,Gateway Underground,Operating,120.593467,-26.385807,GOLD
S0226006,Jims Find,Operating,117.804395,-27.330649,GOLD
S0226035,Lord Byron NW,Operating,123.041614,-29.128452,GOLD
S0226036,Battery Sands,Operating,117.911778,-27.410786,GOLD
S0226063,Fatts,Under Development,118.506607,-26.610688,GOLD
S0226096,Havana South,Operating,124.53612,-29.271361,GOLD
S0229604,Cammi's Creek,Operating,120.939387,-30.730699,GOLD
S0229858,West Dome Main,Operating,122.185071,-21.720134,GOLD
S0230026,Enterprise West,Operating,121.079836,-30.374883,GOLD
S0230607,Neptune,Operating,121.74552,-31.300017,GOLD
S0230898,Gruyere,Operating,123.845213,-27.98443,GOLD
S0230957,Crown Jewel - Boorara,Operating,121.641914,-30.80386,GOLD
S0231429,Invincible - St Ives,Operating,121.670718,-31.279914,GOLD
S0231590,Vivien UG,Operating,120.568526,-27.976825,GOLD
S0231666,Salisbury,Operating,117.902972,-27.396782,GOLD
S0231766,Karari UG,Operating,122.359234,-30.159173,GOLD
S0232049,Heffernans Syenite,Operating,122.218123,-28.816154,GOLD
S0232079,Nicolsons Find U/G,Operating,127.356959,-18.409426,GOLD
S0232136,Millennium,Operating,121.237813,-30.707879,GOLD
S0232283,Baloo,Operating,121.866932,-31.801927,GOLD
S0232453,Whirling Dervish UG,Operating,122.357732,-30.141997,GOLD
S0232461,Deep South UG,Operating,122.548563,-29.54581,GOLD
S0232679,Corinthia Decline,Operating,119.219675,-31.12141,GOLD
S0232751,Gilbeys South,Operating,117.25727,-27.852407,GOLD
S0233202,Coopers,Operating,122.340468,-27.712101,GOLD
S0233583,Tuart Underground,Operating,121.224418,-30.527591,GOLD
S0233701,Gloster,Operating,122.074906,-27.564545,GOLD
S0233751,King of the Hills,Operating,121.165902,-28.663594,GOLD
S0233804,Plutonic Underground,Operating,119.446427,-25.318215,GOLD
S0233932,Tampia North,Operating,118.451651,-32.161676,GOLD
S0234014,Erlistoun,Operating,122.338032,-27.972801,GOLD
S0234177,Delta Island South,Operating,121.722933,-31.293577,GOLD
S0234229,Geko,Operating,120.901846,-30.862375,GOLD
S0234331,Beta Hunt,Operating,121.689942,-31.242538,GOLD
S0234349,Ganymede,Operating,122.215226,-28.819435,GOLD
S0234463,Invincible North,Under Development,121.662842,-31.27261,GOLD
S0234466,Invincible UG,Operating,121.673399,-31.283042,GOLD
S0234476,Deflector UG,Operating,116.379441,-28.668992,GOLD
S0234492,Coventry,Operating,117.801546,-27.33786,GOLD
S0234538,Porphyry West 1,Operating,121.017796,-30.491992,GOLD
S0234796,Grants Hill,Operating,120.095102,-21.87955,GOLD
S0234904,Lost Dog,Operating,120.949716,-30.730951,GOLD
S0234948,Sly Fox,Operating,117.264955,-27.85419,GOLD
S0236189,Thunderbox UG,Operating,121.007285,-28.196004,GOLD
S0236326,Wagtail North UG,Operating,127.353669,-18.421151,GOLD
S0236327,Wagtail South UG,Operating,127.353562,-18.424727,GOLD
S0236361,Ramone,Operating,120.846986,-26.559088,GOLD
S0236468,Karonie Main Zone South,Operating,122.560074,-31.03926,GOLD
S0236571,Plymouth,Operating,117.263648,-27.854278,GOLD
S0236611,Main Lode,Operating,121.139859,-31.024487,GOLD
S0236617,Havieron UG,Under Development,122.640666,-21.727817,GOLD
S0236893,Rosemont UG,Operating,122.278097,-27.843181,GOLD
S0237036,Eridanus,Operating,117.781675,-28.074885,GOLD
S0237038,Shannon UG,Operating,117.78326,-28.060424,GOLD
S0237074,Boston Shaker UG,Operating,124.563896,-29.242173,GOLD
S0237119,Doublejay,Operating,122.219195,-28.810941,GOLD
S0237291,Myhree,Under Development,121.775308,-30.729096,GOLD
S0237465,Penny North UG,Under Development,118.810248,-28.853327,GOLD
S0237487,Thunderbox Zone D,Operating,121.004813,-28.183943,GOLD
S0237869,Bluebird UG,Operating,118.423432,-26.722373,GOLD
S0238307,Hidden Secret,Operating,121.814893,-31.779801,GOLD
S0238425,Orion,Operating,117.789952,-28.071729,GOLD
S0238603,Victoria,Operating,119.416703,-31.345262,GOLD
S0238745,Green Lantern,Operating,121.79622,-32.479727,GOLD
S0238995,Moonbeam Underground,Under Development,121.244269,-30.721499,GOLD
S0239162,Garden Well UG,Under Development,122.356602,-27.905699,GOLD
S0239197,Ramone UG,Operating,120.847225,-26.55961,GOLD
S0239212,Karen Louise,Operating,121.374508,-30.773674,GOLD
S0239470,Fender UG,Operating,117.63454,-27.344488,GOLD
S0239485,Swagman,Operating,121.723065,-31.741825,GOLD
S0240700,System Test Site,Operating,127.430253,-26.564876,GOLD
S0001172,George Palmer,Operating,116.141296,-21.081341,IRON ORE
S0001224,Deepdale J,Operating,116.247354,-21.751437,IRON ORE
S0001331,Koolyanobbing K,Operating,119.5186,-30.797041,IRON ORE
S0001346,Wheelarra 4,Operating,120.1371,-23.380329,IRON ORE
S0001385,Tom Price,Operating,117.776095,-22.769347,IRON ORE
S0001388,Turner Syncline Sec 10,Operating,117.586304,-22.66221,IRON ORE
S0001399,Nammuldi,Operating,117.337502,-22.412291,IRON ORE
S0001402,Mt Whaleback,Operating,119.6754,-23.36536,IRON ORE
S0001405,OB 29,Operating,119.703796,-23.382259,IRON ORE
S0001413,18E,Operating,117.631302,-23.25565,IRON ORE
S0001455,Silvergrass Pit 4,Operating,117.303539,-22.317757,IRON ORE
S0001471,HD1 SC,Operating,119.107344,-22.99867,IRON ORE
S0001534,23E,Operating,117.653999,-23.24884,IRON ORE
S0001587,Pit 3 - Central,Operating,117.21332,-22.598789,IRON ORE
S0001590,84E,Operating,117.8228,-23.302509,IRON ORE
S0001592,Mesa A,Operating,115.886497,-21.672581,IRON ORE
S0001597,Coondiner HD4 East,Operating,119.574358,-23.145752,IRON ORE
S0001607,MAC C West,Operating,118.962601,-22.92985,IRON ORE
S0001608,MAC D,Operating,118.9432,-22.933431,IRON ORE
S0001609,MAC E East,Operating,118.927299,-22.932541,IRON ORE
S0001610,MAC F,Operating,118.875742,-22.941724,IRON ORE
S0001624,South Flank,Operating,118.923302,-22.998671,IRON ORE
S0001632,OB 25 - Pit 3,Operating,119.818298,-23.32995,IRON ORE
S0001634,OB 18 Main,Operating,120.04202,-23.333315,IRON ORE
S0001639,OB 24 E,Operating,119.810799,-23.304199,IRON ORE
S0001642,OB 30,Operating,119.662327,-23.377239,IRON ORE
S0001643,OB 35,Operating,119.657303,-23.38965,IRON ORE
S0001646,64E,Operating,117.774498,-23.30332,IRON ORE
S0002912,P3,Operating,118.960528,-22.905626,IRON ORE
S0002952,94E,Operating,117.848297,-23.305981,IRON ORE
S0002957,11W,Operating,117.561302,-23.22591,IRON ORE
S0002960,Gudai-Darri K58,Operating,119.038123,-22.53376,IRON ORE
S0002964,B1 Main,Operating,117.462898,-22.679331,IRON ORE
S0002984,Billiard,Under Development,119.299568,-22.809575,IRON ORE
S0002995,Wheelarra 2,Operating,120.086534,-23.371527,IRON ORE
S0002996,SJ-C1a-b,Operating,120.118294,-23.39572,IRON ORE
S0002997,Wheelarra 3 Scree,Operating,120.116096,-23.380619,IRON ORE
S0002998,Wheelarra 1,Operating,120.083105,-23.378769,IRON ORE
S0003023,Marillana Ck E2,Operating,119.113602,-22.74144,IRON ORE
S0003024,OB 24 Far W,Operating,119.758003,-23.29225,IRON ORE
S0003025,OB 24 W,Operating,119.773598,-23.2953,IRON ORE
S0003026,OB 24 Int,Operating,119.792397,-23.300051,IRON ORE
S0003027,OB 24 Far E,Operating,119.825798,-23.305309,IRON ORE
S0003235,5 West,Operating,117.576028,-23.218031,IRON ORE
S0003277,Mungada W,Operating,116.862556,-29.141272,IRON ORE
S0003278,Mungada E,Operating,116.883314,-29.142147,IRON ORE
S0003291,Warramboo,Operating,115.830597,-21.66316,IRON ORE
S0003324,Marillana Ck Central 5,Operating,119.100601,-22.724819,IRON ORE
S0003719,Deposit B,Operating,118.767575,-23.118524,IRON ORE
S0003722,Deposit E,Operating,118.789979,-23.198053,IRON ORE
S0005001,Marillana Ck Central 1,Operating,119.065498,-22.718639,IRON ORE
S0006420,HD1 Flat Top,Operating,119.117964,-22.959206,IRON ORE
S0018722,Marillana Ck W1,Operating,119.000198,-22.715599,IRON ORE
S0019054,J1 West,Operating,119.163267,-30.222323,IRON ORE
S0019060,W1 East,Operating,119.26669,-30.011967,IRON ORE
S0019062,W3,Operating,119.289272,-30.012375,IRON ORE
S0019222,4W,Operating,117.579201,-23.22827,IRON ORE
S0019223,32E,Operating,117.682198,-23.253071,IRON ORE
S0019224,39E,Operating,117.7052,-23.25864,IRON ORE
S0019225,37E,Operating,117.694,-23.26259,IRON ORE
S0019226,42E,Operating,117.7071,-23.26511,IRON ORE
S0019228,Section 6,Operating,117.755603,-22.773079,IRON ORE
S0019230,Section 7E2,Operating,117.725098,-22.7684,IRON ORE
S0019283,4E,Operating,117.601402,-23.235149,IRON ORE
S0019285,Lens B,Operating,117.330399,-22.425831,IRON ORE
S0019288,Lens D,Operating,117.354897,-22.410431,IRON ORE
S0019300,Delta Pits,Operating,119.972073,-22.470768,IRON ORE
S0020088,A-WPN,Operating,118.750099,-23.176769,IRON ORE
S0020355,A-CPN,Operating,118.784599,-23.18494,IRON ORE
S0020371,Hairpin,Operating,119.235001,-22.755171,IRON ORE
S0020372,Water Stand,Operating,119.239206,-22.781833,IRON ORE
S0020373,JSE,Operating,119.260803,-22.795231,IRON ORE
S0020558,T.P. North West,Operating,117.740196,-22.74366,IRON ORE
S0020560,T.P. Southern Ridge,Operating,117.752701,-22.761169,IRON ORE
S0020561,T.P. Synclines,Operating,117.762497,-22.76313,IRON ORE
S0020563,TP SE Prong,Operating,117.784433,-22.775931,IRON ORE
S0020577,Centre Pit,Operating,118.139999,-22.64666,IRON ORE
S0020580,SW Ext Pit,Operating,118.118154,-22.640029,IRON ORE
S0020581,Tail Pit,Operating,118.152199,-22.651699,IRON ORE
S0020592,MAC C East,Operating,118.986854,-22.929374,IRON ORE
S0020736,F3,Operating,119.613147,-30.876473,IRON ORE
S0020737,F2,Operating,119.607697,-30.872431,IRON ORE
S0020742,Karara Magnetite,Operating,116.774427,-29.187544,IRON ORE
S0020981,Koolan Main,Operating,123.738098,-16.13303,IRON ORE
